,YEAR,SOCIETY,NUM_NomSpace_ERROR,NUM_SpecSpace_ERROR
1,1870,NVR,0,63
2,1872,NVR,0,129
3,1874,NVR,0,70
4,1875,NVR,0,117
5,1877,NVR,0,104
6,1880,NVR,0,246
7,1881,NVR,0,149
8,1882,NVR,0,179
9,1883,NVR,0,184
10,1884,NVR,0,247
11,1885,NVR,0,182
12,1886,NVR,0,169
13,1887,NVR,0,169
14,1888,NVR,0,163
15,1889,NVR,0,203
16,1890,NVR,0,114
17,1891,NVR,0,86
18,1892,NVR,0,109
19,1893,NVR,0,105
20,1894,NVR,0,82
21,1895,NVR,0,57
22,1897,NVR,0,44
23,1898,NVR,0,44
24,1899,NVR,0,30
25,1900,NVR,0,32
26,1901,NVR,0,21
27,1902,NVR,0,11
28,1903,NVR,0,17
29,1904,NVR,0,42
30,1905,NVR,0,133
31,1906,NVR,0,96
32,1907,NVR,0,62
33,1908,NVR,0,54
34,1909,NVR,0,107
35,1910,NVR,0,65
36,1911,NVR,0,118
37,1912,NVR,0,122
38,1913,NVR,0,129
39,1915,NVR,0,94
40,1924,NVR,0,119
